               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12037,             0.06871,            0.031881,           0.0017878,             0.13636,           0.0020351,          0.00020351,            0.083601,            0.039345,            0.018536,              0.0973,              0.0003,              0.0003
                   1,             0.11807,            0.066467,            0.031718,           0.0018382,             0.13636,           0.0019346,          0.00024357,            0.081264,            0.038849,            0.018591,            0.093693,          0.00069307,          0.00069307
                   2,             0.11257,            0.063542,            0.030032,           0.0012642,            0.090909,           0.0013983,          0.00019103,            0.077163,            0.039104,            0.018414,            0.090078,           0.0010782,           0.0010782
                   3,             0.10353,            0.094106,            0.028678,           0.0019851,             0.12216,           0.0023381,          0.00023381,            0.073241,            0.039982,            0.018408,            0.086455,           0.0014555,           0.0014555
                   4,            0.093767,            0.077559,            0.026135,           0.0039879,             0.21591,           0.0035801,          0.00039405,            0.070738,            0.040762,            0.018237,            0.082825,           0.0018248,           0.0018248
                   5,              0.0897,            0.095732,            0.025292,             0.00612,              0.3267,           0.0092359,           0.0024079,            0.066202,             0.04181,            0.017889,            0.079186,           0.0021861,           0.0021861
                   6,            0.083345,            0.085608,            0.023823,            0.063008,              0.0625,            0.040423,           0.0094742,            0.062502,             0.04276,            0.017334,             0.07554,           0.0025396,           0.0025396
                   7,            0.082516,            0.093844,            0.022199,             0.66076,              0.0625,            0.067133,             0.01958,            0.059466,            0.043829,             0.01684,            0.071885,           0.0028852,           0.0028852
                   8,            0.078143,            0.092718,            0.021317,             0.60688,              0.0625,            0.075337,            0.018407,            0.056316,            0.048773,             0.01579,            0.068223,           0.0032228,           0.0032228
                   9,            0.075518,             0.10715,            0.019824,             0.57653,             0.34375,             0.12643,            0.022175,            0.053912,            0.064168,            0.014716,            0.064553,           0.0035525,           0.0035525
                  10,            0.071417,            0.090551,            0.020219,             0.18985,             0.63576,             0.21515,            0.053804,            0.048132,             0.08084,            0.013898,            0.060874,           0.0038743,           0.0038743
                  11,            0.068878,            0.083666,            0.019164,             0.23074,             0.55966,             0.17993,            0.050442,            0.051381,              0.0836,            0.013269,            0.057188,           0.0041882,           0.0041882
                  12,             0.06604,            0.085147,            0.016603,             0.24193,             0.65057,             0.32353,            0.081708,            0.048048,            0.072357,            0.012238,            0.053494,           0.0044941,           0.0044941
                  13,            0.068191,            0.078905,             0.01654,             0.12018,             0.63636,             0.21261,            0.069182,            0.050401,            0.062456,            0.011295,            0.049792,           0.0047922,           0.0047922
                  14,            0.068875,            0.087702,            0.015295,             0.14986,             0.69602,             0.19963,            0.070884,             0.05413,            0.062458,           0.0095001,            0.046082,           0.0050823,           0.0050823
                  15,            0.069764,            0.081405,            0.014765,             0.18203,             0.74763,             0.33079,             0.12946,            0.046089,            0.054234,           0.0084076,            0.042364,           0.0053644,           0.0053644
                  16,            0.064937,            0.081687,            0.012757,              0.2086,             0.71023,             0.36952,              0.1402,            0.045116,            0.057144,           0.0071381,            0.038639,           0.0056387,           0.0056387
                  17,            0.064888,            0.080963,             0.01314,              0.2188,              0.3267,             0.34722,             0.14707,            0.050506,            0.054901,           0.0049683,            0.034905,           0.0059051,           0.0059051
